column_name,cat_value,count,ratio
fca_category,Basic Essential Expenditure,1.73859199E8,34.68
fca_category,Discretionary Spending,1.52873845E8,30.49
fca_category,Other Income,8.3664528E7,16.69
fca_category,Committed Expenditure,2.526777E7,5.04
fca_category,Regular Income,2.0842301E7,4.16
fca_category,Basic Quality of Living,2.0815877E7,4.15
fca_category,Unknown,1.7649501E7,3.52
fca_category,NullValue,5097028.0,1.02
fca_category,Salary,800252.0,0.16
fca_category,Loan Income,412115.0,0.08
fca_category,Pension,47586.0,0.01
tier_1,Finance,1.12374141E8,22.42
tier_1,Income,1.06386107E8,21.22
tier_1,Shopping,7.2085709E7,14.38
tier_1,Groceries,6.7147824E7,13.39
tier_1,General,3.2377364E7,6.46
tier_1,Bills,2.9528249E7,5.89
tier_1,Entertainment,1.8670076E7,3.72
tier_1,Eating Out,1.7060007E7,3.4
tier_1,Transport,1.6024537E7,3.2
tier_1,Services,1.1433126E7,2.28
tier_1,Other,6447667.0,1.29
tier_1,NullValue,5097013.0,1.02
tier_1,Healthcare,4444918.0,0.89
tier_1,Automotive,1302832.0,0.26
tier_1,Travel,601521.0,0.12
tier_1,Personal Care,341961.0,0.07
tier_1,BIlls,6950.0,0.0
tier_2,Supermarkets,6.0121413E7,11.99
tier_2,Transfer/Payment,5.0220531E7,10.02
tier_2,Other Income,4.5868778E7,9.15
tier_2,"",2.8829731E7,5.75
tier_2,PSP Uncategorised,2.5589354E7,5.1
tier_2,Finance,2.4434194E7,4.87
tier_2,Transfer,1.5380305E7,3.07
tier_2,Gambling,1.4527814E7,2.9
tier_2,Cash,1.118913E7,2.23
tier_2,Insurance,1.0994233E7,2.19
tier_2,Fast Food Restaurants,1.0216263E7,2.04
tier_2,Salary,9846052.0,1.96
tier_2,Service Stations,9479650.0,1.89
tier_2,Utilities,7946790.0,1.59
tier_2,Mobile Phone,7156702.0,1.43
tier_2,Benefits,6814892.0,1.36
tier_2,Electronics Stores,6788829.0,1.35
tier_2,Credit Cards,6459950.0,1.29
tier_2,Payment,6447667.0,1.29
tier_2,Membership,6222234.0,1.24
tier_2,Refund,6115863.0,1.22
tier_2,Miscellaneous Specialty Retail,5738372.0,1.14
tier_2,Convenience Stores/ Misc Food Stores /Vending Machines,5655181.0,1.13
tier_2,NullValue,5097013.0,1.02
tier_2,Broadband & Media,4802015.0,0.96
tier_2,Restaurants,4620802.0,0.92
tier_2,Fee/Charges,4370492.0,0.87
tier_2,Clothing,4061562.0,0.81
tier_2,Pension,3910603.0,0.78
tier_2,Financing,3605448.0,0.72
tier_2,Credit Card Balance Payment,3502359.0,0.7
tier_2,Council,3407427.0,0.68
tier_2,Government Services,3262655.0,0.65
tier_2,Drug Stores and Pharmacies,3216255.0,0.64
tier_2,Miscellaneous Business Services,2730059.0,0.54
tier_2,Digital Goods: Games,2629815.0,0.52
tier_2,Charity,2521999.0,0.5
tier_2,Cable  Satellite  and Other Paid Media Services,2443344.0,0.49
tier_2,Hardware Stores,2209059.0,0.44
tier_2,Payment/Merchant Clearance,2205490.0,0.44
tier_2,TV Licence,2199294.0,0.44
tier_2,Digital Goods: Media  Books  Movies  Music,2133603.0,0.43
tier_2,Lumber  Building Materials Stores,2045848.0,0.41
tier_2,Discount Stores,2017322.0,0.4
tier_2,Loan,1846384.0,0.37
tier_2,Postal Services,1828667.0,0.36
tier_2,Department Stores,1803029.0,0.36
tier_2,Computer Software Stores,1777598.0,0.35
tier_2,Coffee Shop,1687950.0,0.34
tier_2,Automated Fuel Dispensers,1652783.0,0.33
tier_2,Mortgage,1637027.0,0.33
tier_2,Savings,1635172.0,0.33
tier_2,Commuter Transport  Ferries,1291455.0,0.26
tier_2,Rent,1248774.0,0.25
tier_2,Investments,1198037.0,0.24
tier_2,Direct Marketing - Catalog Merchant,1077010.0,0.21
tier_2,Parking Lots  Garages,1059225.0,0.21
tier_2,Limousines & Taxicabs,1042098.0,0.21
tier_2,Professional,981076.0,0.2
tier_2,Liquor Store,980278.0,0.2
tier_2,Pet Shops,959900.0,0.19
tier_2,Debt Collection,906303.0,0.18
tier_2,Household Appliance Stores,879141.0,0.18
tier_2,News Dealers and Newsstands,873331.0,0.17
tier_2,Tax Payments,858017.0,0.17
tier_2,Withdraw,795463.0,0.16
tier_2,Telecommunication Services,750645.0,0.15
tier_2,Financial Institutions,682255.0,0.14
tier_2,Electrical Parts and Equipment,618565.0,0.12
tier_2,Miscellaneous Stores,584814.0,0.12
tier_2,Accessories,583716.0,0.12
tier_2,Music Stores,576580.0,0.12
tier_2,Sporting Goods Stores,568167.0,0.11
tier_2,Railway,557498.0,0.11
tier_2,Cosmetic Stores,535805.0,0.11
tier_2,Caterers,534992.0,0.11
tier_2,Bakeries,534733.0,0.11
tier_2,Bus Lines,521739.0,0.1
tier_2,Dairy Stores,502907.0,0.1
tier_2,Professional Services,463030.0,0.09
tier_2,Vending Machine,461208.0,0.09
tier_2,Drapery  Window Covering  and Upholstery Stores,424111.0,0.08
tier_2,Furniture Stores,418706.0,0.08
tier_2,Toy Stores,379074.0,0.08
tier_2,Reward Schemas,368642.0,0.07
tier_2,PET,348534.0,0.07
tier_2,Garden Supply Stores,340895.0,0.07
tier_2,Gift,333835.0,0.07
tier_2,Frozen Food Stores,333590.0,0.07
tier_2,Services,327216.0,0.07
tier_2,FX & Money Orders,325023.0,0.06
tier_2,Gift  Card  Novelty  and Souvenir Shops,321199.0,0.06
tier_2,Education,314501.0,0.06
tier_2,Auto Service Shops,303578.0,0.06
tier_2,Confectionery Stores,295189.0,0.06
tier_2,Bicycle Shops,294568.0,0.06
tier_2,Dentists,284654.0,0.06
tier_2,Home Supply Warehouse Stores,282880.0,0.06
tier_2,Tolls/Bridge Fees,270515.0,0.05
tier_2,Florists & Nurseries,263769.0,0.05
tier_2,Video Game Arcades,247191.0,0.05
tier_2,Student Loan,238760.0,0.05
tier_2,Automotive Parts and Accessories Stores,235218.0,0.05
tier_2,AIRLINES,217194.0,0.04
tier_2,Eyeglass Stores,214267.0,0.04
tier_2,Photo Developing,212846.0,0.04
tier_2,Computers  Peripherals  and Software,202900.0,0.04
tier_2,Dividends,187927.0,0.04
tier_2,Computer Programming,186836.0,0.04
tier_2,Marketplaces,180447.0,0.04
tier_2,Book Stores,173853.0,0.03
tier_2,Artist's Supply and Craft Shops,173626.0,0.03
tier_2,Drinking Places,167106.0,0.03
tier_2,Miscellaneous General Services,163092.0,0.03
tier_2,Direct Marketing - Other,161411.0,0.03
tier_2,Jewelery and watch,157216.0,0.03
tier_2,Visual & Prepaid Cards,154623.0,0.03
tier_2,Hotels  Motels  Resorts  Central Reservation Services,154179.0,0.03
tier_2,Utilities & Council Tax,150745.0,0.03
tier_2,Car and Truck Dealers,142542.0,0.03
tier_2,Debt,141446.0,0.03
tier_2,Motor Freight Carriers  Trucking,131533.0,0.03
tier_2,Fuel Dealers (Non Automotive),124440.0,0.02
tier_2,Advertising Services,124276.0,0.02
tier_2,Travel Agencies  Tour Operators,121663.0,0.02
tier_2,Computer Network Services,120079.0,0.02
tier_2,Courier Services,118508.0,0.02
tier_2,Consulting  Public Relations,116305.0,0.02
tier_2,Interest,113972.0,0.02
tier_2,Buying/Shopping Services,110502.0,0.02
tier_2,Office supplies,109929.0,0.02
tier_2,Miscellaneous Publishing and Printing Services,107755.0,0.02
tier_2,Barber and Beauty Shops,106454.0,0.02
tier_2,Medical Services and Health Practitioners (Not Elsewhere Classified),106285.0,0.02
tier_2,Cigar Stores and Stands,101040.0,0.02
tier_2,Fuel Prepaid Card,98912.0,0.02
tier_2,Payday Loan,98903.0,0.02
tier_2,Expense Reimbursements,94611.0,0.02
tier_2,Digital Goods: Applications (Excludes Games),94210.0,0.02
tier_2,Investment,91748.0,0.02
tier_2,Wires  Money Orders,86437.0,0.02
tier_2,Direct Marketing - Inbound Tele,82848.0,0.02
tier_2,Floor Covering Stores,80104.0,0.02
tier_2,Automotive,76870.0,0.02
tier_2,Hospitals,74570.0,0.01
tier_2,Chemicals and Allied Products,74328.0,0.01
tier_2,Books  Periodicals  and Newspapers,70213.0,0.01
tier_2,Transportation Services,69962.0,0.01
tier_2,Miscellaneous Recreation Services,69354.0,0.01
tier_2,Durable Goods,66371.0,0.01
tier_2,Hardware  Equipment  and Supplies,66306.0,0.01
tier_2,Automotive Tire Stores,63811.0,0.01
tier_2,Antique Shops,62998.0,0.01
tier_2,Hotels and accomodation,62310.0,0.01
tier_2,Picture/Video Production,61797.0,0.01
tier_2,Glass  Paint  and Wallpaper Stores,61002.0,0.01
tier_2,Computer Network Services & Subscriptions,59295.0,0.01
tier_2,Money Transfer & FX,59137.0,0.01
tier_2,Commercial Equipment,58972.0,0.01
tier_2,Car Rental Agencies,58043.0,0.01
tier_2,Telecommunication Equipment and Telephone Sales,56805.0,0.01
tier_2,Security Services,56655.0,0.01
tier_2,Theatrical Ticket Agencies,54448.0,0.01
tier_2,Civic  Social  Fraternal Associations,53581.0,0.01
tier_2,Shoe Repair/Hat Cleaning,51376.0,0.01
tier_2,Finnancial Services,50368.0,0.01
tier_2,Direct Marketing - Combination Catalog and Retail Merchant,49532.0,0.01
tier_2,Industrial Supplies,48521.0,0.01
tier_2,Motor Vehicle Supplies and New Parts,47347.0,0.01
tier_2,Dating/Escort Services,47325.0,0.01
tier_2,Housing Assosiation,46991.0,0.01
tier_2,Fines,46126.0,0.01
tier_2,Photographic Studios,45455.0,0.01
tier_2,Plumbing  Heating Equipment  and Supplies,42720.0,0.01
tier_2,Wholesale Clubs,41122.0,0.01
tier_2,Doctors,40408.0,0.01
tier_2,Equipment Rental,39580.0,0.01
tier_2,Pharmacy,39147.0,0.01
tier_2,Legal Services  Attorneys,38003.0,0.01
tier_2,Trailer Parks  Campgrounds,37985.0,0.01
tier_2,Medical and Dental Laboratories,36656.0,0.01
tier_2,Rent/Letting Fees,35644.0,0.01
tier_2,Tax Return/Refund,34726.0,0.01
tier_2,Sewing  Needlework  Fabric  and Piece Goods Stores,34347.0,0.01
tier_2,Renovations Contractors,32182.0,0.01
tier_2,Construction Materials,32070.0,0.01
tier_2,Store Cards,30991.0,0.01
tier_2,Compensation/Bank Refund/Adjustment,29914.0,0.01
tier_2,Bussiness Income,29195.0,0.01
tier_2,Nondurable Goods,28886.0,0.01
tier_2,Chiropractors,28666.0,0.01
tier_2,Commercial Photography  Art and Graphics,28280.0,0.01
tier_2,Musical Instruments Stores,27910.0,0.01
tier_2,Landscaping Services,27805.0,0.01
tier_2,Alimony & Child Support,27608.0,0.01
tier_2,Auto Body Repair Shops,26273.0,0.01
tier_2,Paints  Varnishes  and Supplies,25543.0,0.01
tier_2,Art Dealers and Galleries,25363.0,0.01
tier_2,Heating  Plumbing  A/C,24973.0,0.0
tier_2,Cleaning and Maintenance,24520.0,0.0
tier_2,Photographic Equipement,23438.0,0.0
tier_2,Healthcare Equipment and Supplies,23215.0,0.0
tier_2,Funeral Services  Crematories,22194.0,0.0
tier_2,Accounting  Auditing & Bookkeeping Services,20811.0,0.0
tier_2,Health and Beauty Spas,20768.0,0.0
tier_2,Storage Services,19489.0,0.0
tier_2,Miscellaneous Auto Dealers,18721.0,0.0
tier_2,Chiropodists  Podiatrists,18514.0,0.0
tier_2,Architectural  Engineering and Surveying Services,18121.0,0.0
tier_2,Tourist Attractions and Exhibits,17595.0,0.0
tier_2,Petroleum and Petroleum Products,17593.0,0.0
tier_2,General Contractors,17464.0,0.0
tier_2,Counseling Services,17174.0,0.0
tier_2,Bands  Orchestras,16941.0,0.0
tier_2,Watch/Jewelry Repair Services,16317.0,0.0
tier_2,Dry Cleaners,14577.0,0.0
tier_2,Used Merchandise and Secondhand Stores,14173.0,0.0
tier_2,Agricultural Cooperative,13365.0,0.0
tier_2,Osteopaths,13272.0,0.0
tier_2,Motorcycle Shops and Dealers,12663.0,0.0
tier_2,Car Washes,12095.0,0.0
tier_2,Bursary,12037.0,0.0
tier_2,Golf Courses - Public,9970.0,0.0
tier_2,Computer Repair,9944.0,0.0
tier_2,Information Retrieval Services,9087.0,0.0
tier_2,Appliance Repair Services,9074.0,0.0
tier_2,Laundry  Cleaning Services,8978.0,0.0
tier_2,Organisations  Religous,8948.0,0.0
tier_2,Charge Back,8863.0,0.0
tier_2,Specialty Cleaning Services,8848.0,0.0
tier_2,Duty Free Stores,8441.0,0.0
tier_2,Fireplace  Fireplace Screens  and Accessories Stores,8292.0,0.0
tier_2,Activities and Event management,8207.0,0.0
tier_2,Rent & Maintenance,7964.0,0.0
tier_2,Tire Retreading and Repair,7937.0,0.0
tier_2,Recruitment,7670.0,0.0
tier_2,Sports Clubs/Fields,7613.0,0.0
tier_2,Marinas  Service and Supplies,7422.0,0.0
tier_2,Child Support,6992.0,0.0
tier_2,Employment/Temp Agencies,6574.0,0.0
tier_2,Organisations  Political,6556.0,0.0
tier_2,Amusement Parks/Carnivals,6292.0,0.0
tier_2,Stamp and Coin Stores,5892.0,0.0
tier_2,Quick Copy  Repro  and Blueprint,5684.0,0.0
tier_2,Electrical Contractors,5676.0,0.0
tier_2,Cruise Lines,5634.0,0.0
tier_2,Sporting/Recreation Camps,5552.0,0.0
tier_2,Luggage and Leather Goods Stores,5545.0,0.0
tier_2,Child Care Services,5316.0,0.0
tier_2,Aquariums,5247.0,0.0
tier_2,Nursing/Personal Care,5187.0,0.0
tier_2,Hearing Aids Sales and Supplies,5117.0,0.0
tier_2,Miscellaneous Repair Shops,5040.0,0.0
tier_2,Electric Razor Stores,4867.0,0.0
tier_2,Roofing/Siding  Sheet Metal Contractors,4633.0,0.0
tier_2,Digital Goods: Large Digital Goods Merchant,4459.0,0.0
tier_2,Glassware  Crystal Stores,4406.0,0.0
tier_2,Video Amusement Game Supplies,4315.0,0.0
tier_2,Carpentry Contractors,3910.0,0.0
tier_2,Orthopedic Goods - Prosthetic Devices,3895.0,0.0
tier_2,Telegraph Services,3671.0,0.0
tier_2,Dance Hall  Studios  Schools,3667.0,0.0
tier_2,Cheque,3630.0,0.0
tier_2,Insulation Masonry  Stonework  and Plaster Contractors,3615.0,0.0
tier_2,Religious Goods Stores,3595.0,0.0
tier_2,Tent and Awning Shops,3558.0,0.0
tier_2,Electronic Repair Services,3429.0,0.0
tier_2,Optometrists  Ophthalmologist,3307.0,0.0
tier_2,Cinema,3095.0,0.0
tier_2,Towing Services,3035.0,0.0
tier_2,Auto Paint Shops,2937.0,0.0
tier_2,Metal Service Centers,2857.0,0.0
tier_2,Recreational and Utility Trailers  Camp Dealers,2678.0,0.0
tier_2,Life Insurance,2562.0,0.0
tier_2,Swimming Pools Sales,2549.0,0.0
tier_2,Wig and Toupee Stores,2405.0,0.0
tier_2,Office and Commercial Furniture,2274.0,0.0
tier_2,Direct Marketing - Outbound Tele,2169.0,0.0
tier_2,Video Tape Rental Stores,2103.0,0.0
tier_2,Wrecking and Salvage Yards,2032.0,0.0
tier_2,Truck/Utility Trailer Rentals,2017.0,0.0
tier_2,Court Costs including Alimony and Child Support,1946.0,0.0
tier_2,Boat Dealers,1837.0,0.0
tier_2,Recreational Vehicle Rentals,1742.0,0.0
tier_2,Sport & Leisure,1640.0,0.0
tier_2,Airports  Flying Fields,1509.0,0.0
tier_2,Book Clubs,1329.0,0.0
tier_2,Exterminating Services,1228.0,0.0
tier_2,Furniture Repair Services,1121.0,0.0
tier_2,Clothing Rental,1119.0,0.0
tier_2,Piece Goods  Notions  and Other Dry Goods,1052.0,0.0
tier_2,Tailors  Alterations,1041.0,0.0
tier_2,Secretarial Support Services,1024.0,0.0
tier_2,Timeshares,1016.0,0.0
tier_2,Pawn Shops,1004.0,0.0
tier_2,Boat Rentals and Leases,972.0,0.0
tier_2,Laundries,853.0,0.0
tier_2,Mobile Home Dealers,790.0,0.0
tier_2,Concrete Work Contractors,763.0,0.0
tier_2,Testing Laboratories,634.0,0.0
tier_2,Welding Repair Services,616.0,0.0
tier_2,Motor Homes Dealers,547.0,0.0
tier_2,Carpet/Upholstery Cleaning,477.0,0.0
tier_2,Massage Parlors,472.0,0.0
tier_2,Aircondition Repair Services,464.0,0.0
tier_2,Cheques,380.0,0.0
tier_2,Typesetting  Plate Making and Related Services,363.0,0.0
tier_2,Tax Preparation Services,328.0,0.0
tier_2,Footwear,265.0,0.0
tier_2,Railroads - Freight,217.0,0.0
tier_2,Billiard/Pool Establishments,212.0,0.0
tier_2,Bowling Alleys,208.0,0.0
tier_2,Door-To-Door Sales,135.0,0.0
tier_2,Bail and Bond payments,118.0,0.0
tier_2,Direct Marketing - Travel,75.0,0.0
tier_2,Reversal,61.0,0.0
tier_2,Ambulance Services,36.0,0.0
tier_2,Intra Government Transactions,35.0,0.0
tier_2,Transfer_In,10.0,0.0
tier_2,Sports equipment,8.0,0.0
tier_2,Typewriter Stores,7.0,0.0
